site_names,measure_name,time,measure_value:varchar,measure_value:double,measure_value:bigint
Ay,site_name,2024-11-26 09:07:00.000000,Ay,,
Ay,site_name,2024-11-26 09:27:00.000000,Ay,,
Ay,site_name,2024-11-26 09:47:00.000000,Ay,,
Ay,site_name,2024-11-26 10:07:00.000000,Ay,,
Ay,site_name,2024-11-26 10:27:00.000000,Ay,,
Ay,site_name,2024-11-26 10:47:00.000000,Ay,,
Ay,site_name,2024-11-26 11:07:00.000000,Ay,,
Ay,site_name,2024-11-26 11:27:00.000000,Ay,,
Ay,site_name,2024-11-26 11:47:00.000000,Ay,,
Ay,site_name,2024-11-26 12:07:00.000000,Ay,,
Ay,site_name,2024-11-26 12:27:00.000000,Ay,,
Ay,site_name,2024-11-26 12:47:00.000000,Ay,,
Ay,site_name,2024-11-26 13:07:00.000000,Ay,,
Ay,site_name,2024-11-26 13:27:00.000000,Ay,,
Ay,site_name,2024-11-26 13:47:00.000000,Ay,,
Ay,site_name,2024-11-26 14:07:00.000000,Ay,,
Ay,site_name,2024-11-26 14:27:00.000000,Ay,,
Ay,site_name,2024-11-26 14:47:00.000000,Ay,,
Ay,site_name,2024-11-26 15:07:00.000000,Ay,,
Ay,site_name,2024-11-26 15:27:00.000000,Ay,,
Ay,site_name,2024-11-26 15:47:00.000000,Ay,,
Ay,site_name,2024-11-26 16:07:00.000000,Ay,,
Ay,site_name,2024-11-26 16:27:00.000000,Ay,,
Ay,site_name,2024-11-26 16:47:00.000000,Ay,,
Ay,site_name,2024-11-26 17:07:00.000000,Ay,,
Ay,site_name,2024-11-26 17:27:00.000000,Ay,,
Ay,site_name,2024-11-26 17:47:00.000000,Ay,,
Ay,site_name,2024-11-26 18:07:00.000000,Ay,,
Ay,site_name,2024-11-26 18:27:00.000000,Ay,,
Ay,site_name,2024-11-26 18:47:00.000000,Ay,,
Ay,site_name,2024-11-26 19:07:00.000000,Ay,,
Ay,site_name,2024-11-26 19:27:00.000000,Ay,,
Ay,site_name,2024-11-26 19:47:00.000000,Ay,,
Ay,site_name,2024-11-26 20:07:00.000000,Ay,,
Ay,site_name,2024-11-26 20:27:00.000000,Ay,,
Ay,site_name,2024-11-26 20:47:00.000000,Ay,,
Ay,site_name,2024-11-26 21:07:00.000000,Ay,,
Ay,site_name,2024-11-26 21:27:00.000000,Ay,,
Ay,site_name,2024-11-27 00:07:00.000000,Ay,,
Ay,site_name,2024-11-27 00:27:00.000000,Ay,,
Ay,site_name,2024-11-27 00:47:00.000000,Ay,,
Ay,site_name,2024-11-27 01:07:00.000000,Ay,,
Ay,site_name,2024-11-27 01:27:00.000000,Ay,,
Ay,site_name,2024-11-27 01:47:00.000000,Ay,,
Ay,site_name,2024-11-27 02:07:00.000000,Ay,,
Ay,site_name,2024-11-27 02:27:00.000000,Ay,,
Ay,site_name,2024-11-27 02:47:00.000000,Ay,,
Ay,site_name,2024-11-27 03:07:00.000000,Ay,,
Ay,site_name,2024-11-27 03:27:00.000000,Ay,,
Ay,site_name,2024-11-27 03:47:00.000000,Ay,,
Ay,site_name,2024-11-27 04:07:00.000000,Ay,,
Ay,site_name,2024-11-27 04:27:00.000000,Ay,,
Ay,site_name,2024-11-27 04:47:00.000000,Ay,,
Ay,site_name,2024-11-27 05:07:00.000000,Ay,,
Ay,site_name,2024-11-27 05:27:00.000000,Ay,,
Ay,site_name,2024-11-27 05:47:00.000000,Ay,,
Ay,site_name,2024-11-27 06:07:00.000000,Ay,,
Ay,site_name,2024-11-27 06:27:00.000000,Ay,,
